Código EAN,Produto,Categoria 1,Categoria 2
7898962913581,"ESPONJA INFANTIL BEM BELLA C/1 UNID","PERFUMARIA","HIGIENE PESSOAL"
7891055661109,"ESPONJA LIMPA GRELHA/ESPETO CONDOR R1535","LIMPEZA","UTILITARIOS PARA O LAR"
7891040003174,"ESPONJA LIMPABELA MULTIUSO","LIMPEZA","UTILITARIOS PARA O LAR"
7896021624416,"ESPONJA LIMPANO SALVA UNHAS UNT","LIMPEZA","UTILITARIOS PARA O LAR"
7896498526800,"ESPONJA LUXCAR MICROFIBRA","LIMPEZA","UTILITARIOS PARA O LAR"
7891040128082,"ESPONJA M.USO TININDO 109X73X20MM","LIMPEZA","UTILITARIOS PARA O LAR"
7891040227716,"ESPONJA M.USO TININDO 109X73X20MM","LIMPEZA","UTILITARIOS PARA O LAR"
7891040150021,"ESPONJA MULT SCOTCH BRITE (FORMATO ECONO)","LIMPEZA","UTILITARIOS PARA O LAR"
7891040152339,"ESPONJA MULT SCOTCH BRITE (FORMATO ECONO)","LIMPEZA","UTILITARIOS PARA O LAR"
7896001004511,"ESPONJA MULTIUSO BRILHUS","LIMPEZA","UTILITARIOS PARA O LAR"
57896001004516,"ESPONJA MULTIUSO BRILHUS","LIMPEZA","UTILITARIOS PARA O LAR"
7896001044517,"ESPONJA MULTIUSO JEITOSA","LIMPEZA","UTILITARIOS PARA O LAR"
7896021622009,"ESPONJA MULTIUSO LIMPPANO C/1UND","LIMPEZA","UTILITARIOS PARA O LAR"
7896021620050,"ESPONJA MULTIUSO WISH C/1UND","LIMPEZA","UTILITARIOS PARA O LAR"
7891055521410,"ESPONJA P/ BANHO  CONDOR ESPUMA R.8300","PERFUMARIA","HIGIENE PESSOAL"
7898262050016,"ESPONJA P/ BANHO ELIZA","PERFUMARIA","HIGIENE PESSOAL"
7896818202933,"ESPONJA P/ BANHO PL50 BEM BELLA","PERFUMARIA","HIGIENE PESSOAL"
7898711950133,"ESPONJA P/ BANHO ROLFF","PERFUMARIA","HIGIENE PESSOAL"
7898711950188,"ESPONJA P/ BANHO ROLFF","PERFUMARIA","HIGIENE PESSOAL"
7896090105007,"ESPONJA PERTUTO ASSOLAN","LIMPEZA","UTILITARIOS PARA O LAR"
7891040001187,"ESPONJA PONJITA BANHO AMARELA","PERFUMARIA","HIGIENE PESSOAL"
7891040001835,"ESPONJA PONJITA BANHO AMARELA","PERFUMARIA","HIGIENE PESSOAL"
7891040104109,"ESPONJA PONJITA ESFOLIANTE","PERFUMARIA","HIGIENE PESSOAL"
7891040107872,"ESPONJA PONJITA ESPUMA ABUNDANTE","PERFUMARIA","HIGIENE PESSOAL"
7896021625574,"ESPONJA SALVA UNHAS WISH 60X1","LIMPEZA","UTILITARIOS PARA O LAR"
7891040112968,"ESPONJA SCOTCH-B ALUMINIO","LIMPEZA","UTILITARIOS PARA O LAR"
7891040003167,"ESPONJA SCOTCH-B BANHEIRO UN","LIMPEZA","UTILITARIOS PARA O LAR"
7891040331529,"ESPONJA SCOTCH-B ESFERA ANTIBAC UN","LIMPEZA","UTILITARIOS PARA O LAR"
7891040221059,"ESPONJA SCOTCH-B EXTREMA UNIT","LIMPEZA","UTILITARIOS PARA O LAR"
